Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years,BRef_Register_ID,BRef_Register_URL,Resolve_Status,Resolve_Method,Resolve_Reason,Birth_Year,Birth_Country,Birth_State,Chadwick_Name,Chadwick_Key
Fernando Tatis Jr.,fernando tatis,fernando,tatis,2,2019,2019,SS,San Diego Padres,MLB,27,2,2018;2019,tatis-003fer,https://www.baseball-reference.com/register/player.fcgi?id=tatis-003fer,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1999.0; approx_birth_year=1992; minor_id=tatis-003fer; attempts=exact_full_name=3,1999.0,,,Fernando Tatís,38faa7ea
Gavin Lux,gavin lux,gavin,lux,2,2020,2020,SS/2B,Tampa Bay Rays,MLB,28,2,2019;2020,lux---000gav,https://www.baseball-reference.com/register/player.fcgi?id=lux---000gav,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=lux---000gav; attempts=exact_full_name=1,1997.0,,,Gavin Lux,6cb7b855
Jackson Chourio,jackson chourio,jackson,chourio,2,2024,2024,OF,Milwaukee Brewers,MLB,22,2,2023;2024,chouri000jac,https://www.baseball-reference.com/register/player.fcgi?id=chouri000jac,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2002; minor_id=chouri000jac; attempts=exact_full_name=1,2004.0,,,Jackson Chourio,02eaeca3
Leo De Vries,leo de vries,leo,vries,2,2026,2026,SS,Athletics,AA,19,2,2025;2026,devrie000leo,https://www.baseball-reference.com/register/player.fcgi?id=devrie000leo,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=devrie000leo; attempts=exact_full_name=1,2006.0,,,Leo De Vries,cdc1e34f
Roman Anthony,roman anthony,roman,anthony,2,2025,2025,OF,Boston Red Sox,MLB,22,2,2024;2025,anthon000rom,https://www.baseball-reference.com/register/player.fcgi?id=anthon000rom,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2003; minor_id=anthon000rom; attempts=exact_full_name=1,2004.0,,,Roman Anthony,19ca305a
Ronald Acuña Jr.,ronald acuna,ronald,acuna,2,2018,2018,OF,Atlanta Braves,MLB,28,1,2018,acuna-002ron,https://www.baseball-reference.com/register/player.fcgi?id=acuna-002ron,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1990; minor_id=acuna-002ron; attempts=exact_full_name=1,1997.0,,,Ronald Acuña,cc15ccfa
Yoán Moncada,yoan moncada,yoan,moncada,2,2017,2017,2B,Los Angeles Angels,MLB,30,1,2017,moncad000joh,https://www.baseball-reference.com/register/player.fcgi?id=moncad000joh,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=moncad000joh; attempts=exact_full_name=1,1995.0,,,Yoán Moncada,a1f9b20b
Eloy Jiménez,eloy jimenez,eloy,jimenez,3,2019,2019,OF,Toronto Blue Jays,AAA,29,3,2017;2018;2019,jimene000elo,https://www.baseball-reference.com/register/player.fcgi?id=jimene000elo,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1990; minor_id=jimene000elo; attempts=exact_full_name=1,1996.0,,,Eloy Jiménez,3847ab75
Francisco Alvarez,francisco alvarez,francisco,alvarez,3,2023,2023,C,New York Mets,MLB,24,4,2020;2021;2022;2023,alvare006fra,https://www.baseball-reference.com/register/player.fcgi?id=alvare006fra,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=alvare006fra; attempts=exact_full_name=2,2001.0,,,Francisco Álvarez,7322c14f
Gleyber Torres,gleyber torres,gleyber,torres,3,2017,2018,INF,Detroit Tigers,MLB,29,2,2017;2018,torres000gle,https://www.baseball-reference.com/register/player.fcgi?id=torres000gle,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1989; minor_id=torres000gle; attempts=exact_full_name=1,1996.0,,,Gleyber Torres,46e27a6f
Julio Rodríguez,julio rodriguez,julio,rodriguez,3,2022,2022,OF,Seattle Mariners,MLB,25,3,2020;2021;2022,rodrig010jul,https://www.baseball-reference.com/register/player.fcgi?id=rodrig010jul,resolved,chadwick_name_match_with_minor_id,matches=13; selected_birth_year=1997.0; approx_birth_year=1997; minor_id=rodrig010jul; attempts=exact_full_name=13,1997.0,,,Julio Rodriguez,055ca297
Luis Robert Jr.,luis robert,luis,robert,3,2020,2020,OF,New York Mets,MLB,28,3,2018;2019;2020,robert001lui,https://www.baseball-reference.com/register/player.fcgi?id=robert001lui,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=robert001lui; attempts=exact_full_name=1,1997.0,,,Luis Robert,c115568b
Spencer Torkelson,spencer torkelson,spencer,torkelson,3,2021,2022,1B/3B,Detroit Tigers,MLB,26,2,2021;2022,torkel000spe,https://www.baseball-reference.com/register/player.fcgi?id=torkel000spe,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1996; minor_id=torkel000spe; attempts=exact_full_name=1,1999.0,,,Spencer Torkelson,e8b202f2
Walker Jenkins,walker jenkins,walker,jenkins,3,2025,2026,OF,Minnesota Twins,AAA,21,3,2024;2025;2026,jenkin001wal,https://www.baseball-reference.com/register/player.fcgi?id=jenkin001wal,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2005.0; approx_birth_year=2005; minor_id=jenkin001wal; attempts=exact_full_name=2,2005.0,,,Walker Jenkins,24f9a078
Dansby Swanson,dansby swanson,dansby,swanson,4,2017,2017,SS,Chicago Cubs,MLB,32,1,2017,swanso001dan,https://www.baseball-reference.com/register/player.fcgi?id=swanso001dan,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1985; minor_id=swanso001dan; attempts=exact_full_name=1,1994.0,,,Dansby Swanson,c3fbd283
Dylan Crews,dylan crews,dylan,crews,4,2025,2025,OF,Washington Nationals,AAA,24,2,2024;2025,crews-000dyl,https://www.baseball-reference.com/register/player.fcgi?id=crews-000dyl,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=crews-000dyl; attempts=exact_full_name=1,2002.0,,,Dylan Crews,e8399c58
Eli Willits,eli willits,eli,willits,4,2026,2026,SS,Washington Nationals,A,18,1,2026,willit000eli,https://www.baseball-reference.com/register/player.fcgi?id=willit000eli,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2008; minor_id=willit000eli; attempts=exact_full_name=1,2007.0,,,Eli Willits,32f9eb7e
Jarred Kelenic,jarred kelenic,jarred,kelenic,4,2021,2021,OF,Chicago White Sox,MLB,26,3,2019;2020;2021,keleni000jar,https://www.baseball-reference.com/register/player.fcgi?id=keleni000jar,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1995; minor_id=keleni000jar; attempts=exact_full_name=1,1999.0,,,Jarred Kelenic,e14d6fb7
Jordan Walker,jordan walker,jordan,walker,4,2023,2023,OF/3B,St. Louis Cardinals,MLB,23,2,2022;2023,walker000jor,https://www.baseball-reference.com/register/player.fcgi?id=walker000jor,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2002.0; approx_birth_year=2000; minor_id=walker000jor; attempts=exact_full_name=2,2002.0,,,Jordan Walker,99a4bac3
Junior Caminero,junior caminero,junior,caminero,4,2024,2024,3B/2B,Tampa Bay Rays,MLB,22,1,2024,camine000jun,https://www.baseball-reference.com/register/player.fcgi?id=camine000jun,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=camine000jun; attempts=exact_full_name=1,2003.0,,,Junior Caminero,9f9f21fa
Victor Robles,victor robles,victor,robles,4,2019,2019,OF,Seattle Mariners,AAA,28,3,2017;2018;2019,robles002vic,https://www.baseball-reference.com/register/player.fcgi?id=robles002vic,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1991; minor_id=robles002vic; attempts=exact_full_name=2,1997.0,,,Víctor Robles,bab8e489
Amed Rosario,amed rosario,amed,rosario,5,2017,2017,SS,New York Yankees,MLB,30,1,2017,rosari000ame,https://www.baseball-reference.com/register/player.fcgi?id=rosari000ame,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=rosari000ame; attempts=exact_full_name=1,1995.0,,,Amed Rosario,33fdfb35
Anthony Volpe,anthony volpe,anthony,volpe,5,2023,2023,SS,New York Yankees,MLB,25,2,2022;2023,volpe-000ant,https://www.baseball-reference.com/register/player.fcgi?id=volpe-000ant,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1998; minor_id=volpe-000ant; attempts=exact_full_name=1,2001.0,,,Anthony Volpe,2e4c164f
Evan Carter,evan carter,evan,carter,5,2024,2024,OF,Texas Rangers,MLB,23,2,2023;2024,carter000eva,https://www.baseball-reference.com/register/player.fcgi?id=carter000eva,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=carter000eva; attempts=exact_full_name=2,2002.0,,,Evan Carter,6d141f51
Riley Greene,riley greene,riley,greene,5,2022,2022,OF,Detroit Tigers,MLB,25,3,2020;2021;2022,greene000ril,https://www.baseball-reference.com/register/player.fcgi?id=greene000ril,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=greene000ril; attempts=exact_full_name=1,2000.0,,,Riley Greene,8605b494
Royce Lewis,royce lewis,royce,lewis,5,2019,2023,SS,Minnesota Twins,MLB,26,6,2018;2019;2020;2021;2022;2023,lewis-002roy,https://www.baseball-reference.com/register/player.fcgi?id=lewis-002roy,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=lewis-002roy; attempts=exact_full_name=1,1999.0,,,Royce Lewis,85f3b9a9
Colt Emerson,colt emerson,colt,emerson,6,2026,2026,SS,Seattle Mariners,MLB,20,3,2024;2025;2026,emerso001col,https://www.baseball-reference.com/register/player.fcgi?id=emerso001col,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=emerso001col; attempts=exact_full_name=1,2005.0,,,Colt Emerson,71b38c87
Jo Adell,jo adell,jo,adell,6,2020,2020,OF,Los Angeles Angels,MLB,27,3,2018;2019;2020,adell-000jo-,https://www.baseball-reference.com/register/player.fcgi?id=adell-000jo-,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1993; minor_id=adell-000jo-; attempts=exact_full_name=1,1999.0,,,Jo Adell,98252b93
Max Clark,max clark,max,clark,6,2025,2026,OF,Detroit Tigers,AAA,21,3,2024;2025;2026,clark-005max,https://www.baseball-reference.com/register/player.fcgi?id=clark-005max,resolved,chadwick_name_match_with_minor_id,matches=6; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=clark-005max; attempts=exact_full_name=6,2004.0,,,Max Clark,91b962d9
Nick Senzel,nick senzel,nick,senzel,6,2019,2019,3B/2B/OF,Los Angeles Dodgers,AAA,30,3,2017;2018;2019,senzel000nic,https://www.baseball-reference.com/register/player.fcgi?id=senzel000nic,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1989; minor_id=senzel000nic; attempts=exact_full_name=1,1995.0,,,Nick Senzel,3dcec8df
Wyatt Langford,wyatt langford,wyatt,langford,6,2024,2024,OF,Texas Rangers,MLB,24,1,2024,langfo000wya,https://www.baseball-reference.com/register/player.fcgi?id=langfo000wya,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=langfo000wya; attempts=exact_full_name=1,2001.0,,,Wyatt Langford,0874b6b3
Gabriel Moreno,gabriel moreno,gabriel,moreno,7,2022,2022,C,Arizona Diamondbacks,MLB,26,1,2022,moreno000gab,https://www.baseball-reference.com/register/player.fcgi?id=moreno000gab,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1996; minor_id=moreno000gab; attempts=exact_full_name=1,2000.0,,,Gabriel Moreno,333a87aa
J.P. Crawford,j p crawford,j,crawford,7,2017,2018,SS,Seattle Mariners,MLB,31,2,2017;2018,crawfo000jp-,https://www.baseball-reference.com/register/player.fcgi?id=crawfo000jp-,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=crawfo000jp-; attempts=exact_full_name=1,1995.0,,,J. P. Crawford,7b8bd81f
Kristian Campbell,kristian campbell,kristian,campbell,7,2025,2025,2B/SS/OF,Boston Red Sox,AAA,23,1,2025,campbe000kri,https://www.baseball-reference.com/register/player.fcgi?id=campbe000kri,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=campbe000kri; attempts=exact_full_name=1,2002.0,,,Kristian Campbell,05c8cfae
CJ Abrams,cj abrams,cj,abrams,8,2021,2022,SS,Washington Nationals,MLB,25,3,2020;2021;2022,abrams000pau,https://www.baseball-reference.com/register/player.fcgi?id=abrams000pau,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=abrams000pau; attempts=exact_full_name=1,2000.0,,,CJ Abrams,659f674e
Ethan Salas,ethan salas,ethan,salas,8,2024,2026,C,San Diego Padres,AA,19,3,2024;2025;2026,salas-000eth,https://www.baseball-reference.com/register/player.fcgi?id=salas-000eth,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=salas-000eth; attempts=exact_full_name=1,2006.0,,,Ethan Salas,c1c0259e
Kyle Tucker,kyle tucker,kyle,tucker,8,2019,2019,OF,Los Angeles Dodgers,MLB,29,3,2017;2018;2019,tucker001kyl,https://www.baseball-reference.com/register/player.fcgi?id=tucker001kyl,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1990; minor_id=tucker001kyl; attempts=exact_full_name=1,1997.0,,,Kyle Tucker,daeb0856
Alex Kirilloff,alex kirilloff,alex,kirilloff,9,2019,2021,OF/1B,Minnesota Twins,MLB,28,4,2017;2019;2020;2021,kirill000ale,https://www.baseball-reference.com/register/player.fcgi?id=kirill000ale,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1993; minor_id=kirill000ale; attempts=exact_full_name=1,1997.0,,,Alex Kirilloff,1d7c9716
Carson Williams,carson williams,carson,williams,9,2025,2025,SS,Tampa Bay Rays,MLB,22,3,2023;2024;2025,willia017car,https://www.baseball-reference.com/register/player.fcgi?id=willia017car,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=willia017car; attempts=exact_full_name=2,2003.0,,,Carson Williams,ab88c8ed
Colson Montgomery,colson montgomery,colson,montgomery,9,2024,2025,SS/3B,Chicago White Sox,MLB,24,3,2023;2024;2025,montgo001col,https://www.baseball-reference.com/register/player.fcgi?id=montgo001col,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=montgo001col; attempts=exact_full_name=1,2002.0,,,Colson Montgomery,b303bcd1
Josue De Paula,josue de paula,josue,paula,9,2026,2026,OF,Los Angeles Dodgers,AA,20,2,2025;2026,depaul002jos,https://www.baseball-reference.com/register/player.fcgi?id=depaul002jos,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=depaul002jos; attempts=exact_full_name=1,2005.0,,,Josue De Paula,169b7270
Ke'Bryan Hayes,ke'bryan hayes,ke'bryan,hayes,9,2021,2021,3B,Cincinnati Reds,MLB,29,3,2019;2020;2021,hayes-000keb,https://www.baseball-reference.com/register/player.fcgi?id=hayes-000keb,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=hayes-000keb; attempts=exact_full_name=1,1997.0,,,Ke'Bryan Hayes,3a2bfaab
Marcelo Mayer,marcelo mayer,marcelo,mayer,9,2023,2025,INF,Boston Red Sox,MLB,23,4,2022;2023;2024;2025,mayer-000mar,https://www.baseball-reference.com/register/player.fcgi?id=mayer-000mar,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=mayer-000mar; attempts=exact_full_name=1,2002.0,,,Marcelo Mayer,942bc316
Austin Meadows,austin meadows,austin,meadows,10,2017,2018,OF,Detroit Tigers,MLB,31,2,2017;2018,meadow000aus,https://www.baseball-reference.com/register/player.fcgi?id=meadow000aus,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=meadow000aus; attempts=exact_full_name=1,1995.0,,,Austin Meadows,48ae5e9c
Brendan Rodgers,brendan rodgers,brendan,rodgers,10,2019,2020,2B/SS,Boston Red Sox,AAA,29,4,2017;2018;2019;2020,rodger000bre,https://www.baseball-reference.com/register/player.fcgi?id=rodger000bre,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1991; minor_id=rodger000bre; attempts=exact_full_name=1,1996.0,,,Brendan Rodgers,42abe3dc
Elly De La Cruz,elly de la cruz,elly,cruz,10,2023,2023,SS/3B,Cincinnati Reds,MLB,24,2,2022;2023,delacr000ell,https://www.baseball-reference.com/register/player.fcgi?id=delacr000ell,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=1999; minor_id=delacr000ell; attempts=exact_full_name=1,2002.0,,,Elly De La Cruz,f0540df0
Sebastian Walcott,sebastian walcott,sebastian,walcott,10,2026,2026,SS/3B,Texas Rangers,AA,20,3,2024;2025;2026,walcot000seb,https://www.baseball-reference.com/register/player.fcgi?id=walcot000seb,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2006; minor_id=walcot000seb; attempts=exact_full_name=1,2006.0,,,Sebastian Walcott,4630bbb2
Travis Bazzana,travis bazzana,travis,bazzana,10,2025,2026,2B,Cleveland Guardians,MLB,23,2,2025;2026,bazzan000tra,https://www.baseball-reference.com/register/player.fcgi?id=bazzan000tra,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2003; minor_id=bazzan000tra; attempts=exact_full_name=1,2002.0,,,Travis Bazzana,8435ac1d
Bo Bichette,bo bichette,bo,bichette,11,2019,2019,SS,New York Mets,MLB,28,2,2018;2019,bichet000bo-,https://www.baseball-reference.com/register/player.fcgi?id=bichet000bo-,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1991; minor_id=bichet000bo-; attempts=exact_full_name=1,1998.0,,,Bo Bichette,e9e70aad
Francisco Mejía,francisco mejia,francisco,mejia,11,2018,2019,C/OF,—,—,30,3,2017;2018;2019,mejia-003fra,https://www.baseball-reference.com/register/player.fcgi?id=mejia-003fra,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1986.0; approx_birth_year=1989; minor_id=mejia-003fra; attempts=exact_full_name=3,1986.0,,,Francisco Mejia,a5c6a275
Franklin Arias,franklin arias,franklin,arias,11,2026,2026,SS,Boston Red Sox,AA,20,2,2025;2026,arias-008fra,https://www.baseball-reference.com/register/player.fcgi?id=arias-008fra,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=arias-008fra; attempts=exact_full_name=2,2005.0,,,Franklin Arias,04bc1998
Jordan Lawlar,jordan lawlar,jordan,lawlar,11,2025,2025,INF,Arizona Diamondbacks,MLB,23,4,2022;2023;2024;2025,lawlar000jor,https://www.baseball-reference.com/register/player.fcgi?id=lawlar000jor,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=lawlar000jor; attempts=exact_full_name=1,2002.0,,,Jordan Lawlar,1afbc440
Noelvi Marte,noelvi marte,noelvi,marte,11,2022,2024,3B/SS,Cincinnati Reds,AAA,24,3,2022;2023;2024,marte-000noe,https://www.baseball-reference.com/register/player.fcgi?id=marte-000noe,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=marte-000noe; attempts=exact_full_name=1,2001.0,,,Noelvi Marte,fa71fa98
Ozzie Albies,ozzie albies,ozzie,albies,11,2017,2017,2B/SS,Atlanta Braves,MLB,29,1,2017,albies000ozh,https://www.baseball-reference.com/register/player.fcgi?id=albies000ozh,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1988; minor_id=albies000ozh; attempts=exact_full_name=1,1997.0,,,Ozzie Albies,1f8df31a
Cristian Pache,cristian pache,cristian,pache,12,2021,2021,OF,New York Mets,AAA,27,3,2019;2020;2021,pache-000cri,https://www.baseball-reference.com/register/player.fcgi?id=pache-000cri,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=pache-000cri; attempts=exact_full_name=1,1998.0,,,Cristian Pache,aad23cca
Jackson Merrill,jackson merrill,jackson,merrill,12,2024,2024,SS/OF,San Diego Padres,MLB,23,2,2023;2024,merril000jac,https://www.baseball-reference.com/register/player.fcgi?id=merril000jac,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2001; minor_id=merril000jac; attempts=exact_full_name=1,2003.0,,,Jackson Merrill,340ee4ba
Cody Bellinger,cody bellinger,cody,bellinger,13,2017,2017,1B/OF,New York Yankees,MLB,30,1,2017,bellin000cod,https://www.baseball-reference.com/register/player.fcgi?id=bellin000cod,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=bellin000cod; attempts=exact_full_name=1,1995.0,,,Cody Bellinger,32775691
Dylan Carlson,dylan carlson,dylan,carlson,13,2021,2021,OF,Philadelphia Phillies,AAA,27,2,2020;2021,carlso000dyl,https://www.baseball-reference.com/register/player.fcgi?id=carlso000dyl,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=carlso000dyl; attempts=exact_full_name=2,1998.0,,,Dylan Carlson,12bb2b45
Marco Luciano,marco luciano,marco,luciano,13,2022,2024,SS,New York Yankees,AAA,24,5,2020;2021;2022;2023;2024,lucian000mar,https://www.baseball-reference.com/register/player.fcgi?id=lucian000mar,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=lucian000mar; attempts=exact_full_name=1,2001.0,,,Marco Luciano,a638a9f2
Samuel Basallo,samuel basallo,samuel,basallo,13,2025,2025,C/1B,Baltimore Orioles,MLB,21,2,2024;2025,basall000sam,https://www.baseball-reference.com/register/player.fcgi?id=basall000sam,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2004; minor_id=basall000sam; attempts=exact_full_name=1,2004.0,,,Samuel Basallo,d87d9daf
