Player,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Acquisition_Type,Acquisition_Confidence,Acquisition_Reason,BRef_Register_ID,BRef_Register_URL,Birth_Year,Birth_Country,Birth_State,Year,Age,Source,Games,Teams,Leagues,Levels,Table_Index
Aiva Arquette,35,2026,2026,SS,Miami Marlins,College,high,College/NCAA batting rows found through age 21,arquet000aiv,https://www.baseball-reference.com/register/player.fcgi?id=arquet000aiv,2003.0,,,2024,20,College,48,Washington,P12,NCAA,0
Aiva Arquette,35,2026,2026,SS,Miami Marlins,College,high,College/NCAA batting rows found through age 21,arquet000aiv,https://www.baseball-reference.com/register/player.fcgi?id=arquet000aiv,2003.0,,,2024,20,Summer,29,Chatham,CCBL,Smr,0
Aiva Arquette,35,2026,2026,SS,Miami Marlins,College,high,College/NCAA batting rows found through age 21,arquet000aiv,https://www.baseball-reference.com/register/player.fcgi?id=arquet000aiv,2003.0,,,2025,21,College,65,Oregon State,D1IN,NCAA,0
Aiva Arquette,35,2026,2026,SS,Miami Marlins,College,high,College/NCAA batting rows found through age 21,arquet000aiv,https://www.baseball-reference.com/register/player.fcgi?id=arquet000aiv,2003.0,,,2025,21,Pro,27,Beloit,MIDW,A+,0
Alec Bohm,30,2020,2020,3B/1B,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,bohm--000ale,https://www.baseball-reference.com/register/player.fcgi?id=bohm--000ale,1996.0,,,2016,19,College,51,Wichita State,MVC,NCAA,0
Alec Bohm,30,2020,2020,3B/1B,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,bohm--000ale,https://www.baseball-reference.com/register/player.fcgi?id=bohm--000ale,1996.0,,,2017,20,College,58,Wichita State,MVC,NCAA,0
Alec Bohm,30,2020,2020,3B/1B,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,bohm--000ale,https://www.baseball-reference.com/register/player.fcgi?id=bohm--000ale,1996.0,,,2017,20,Summer,39,Falmouth,CCBL,Smr,0
Alec Bohm,30,2020,2020,3B/1B,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,bohm--000ale,https://www.baseball-reference.com/register/player.fcgi?id=bohm--000ale,1996.0,,,2018,21,College,57,Wichita State,Amer,NCAA,0
Alec Bohm,30,2020,2020,3B/1B,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,bohm--000ale,https://www.baseball-reference.com/register/player.fcgi?id=bohm--000ale,1996.0,,,2018,21,Pro,40,3 Teams,2 Lgs,A--Rk,0
Alec Burleson,91,2023,2023,OF,St. Louis Cardinals,College,high,College/NCAA batting rows found through age 21,burles000ale,https://www.baseball-reference.com/register/player.fcgi?id=burles000ale,1998.0,,,2018,19,College,49,East Carolina,Amer,NCAA,0
Alec Burleson,91,2023,2023,OF,St. Louis Cardinals,College,high,College/NCAA batting rows found through age 21,burles000ale,https://www.baseball-reference.com/register/player.fcgi?id=burles000ale,1998.0,,,2018,19,Summer,29,Bethesda,CRCL,Smr,0
Alec Burleson,91,2023,2023,OF,St. Louis Cardinals,College,high,College/NCAA batting rows found through age 21,burles000ale,https://www.baseball-reference.com/register/player.fcgi?id=burles000ale,1998.0,,,2019,20,College,64,East Carolina,Amer,NCAA,0
Alec Burleson,91,2023,2023,OF,St. Louis Cardinals,College,high,College/NCAA batting rows found through age 21,burles000ale,https://www.baseball-reference.com/register/player.fcgi?id=burles000ale,1998.0,,,2019,20,Summer,8,Bourne,CCBL,Smr,0
Alec Burleson,91,2023,2023,OF,St. Louis Cardinals,College,high,College/NCAA batting rows found through age 21,burles000ale,https://www.baseball-reference.com/register/player.fcgi?id=burles000ale,1998.0,,,2020,21,College,17,East Carolina,Amer,NCAA,0
Alex Freeland,72,2025,2025,INF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,freela000ale,https://www.baseball-reference.com/register/player.fcgi?id=freela000ale,2001.0,,,2020,18,Summer,23,Leesburg Storm,FCSL,Smr,0
Alex Freeland,72,2025,2025,INF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,freela000ale,https://www.baseball-reference.com/register/player.fcgi?id=freela000ale,2001.0,,,2021,19,College,60,Central Florida,Amer,NCAA,0
Alex Freeland,72,2025,2025,INF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,freela000ale,https://www.baseball-reference.com/register/player.fcgi?id=freela000ale,2001.0,,,2021,19,Summer,24,Brewster,CCBL,Smr,0
Alex Freeland,72,2025,2025,INF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,freela000ale,https://www.baseball-reference.com/register/player.fcgi?id=freela000ale,2001.0,,,2022,20,College,42,Central Florida,Amer,NCAA,0
Alex Freeland,72,2025,2025,INF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,freela000ale,https://www.baseball-reference.com/register/player.fcgi?id=freela000ale,2001.0,,,2022,20,Pro,8,Rancho Cucamonga,CALL,A,0
Alex Freeland,72,2025,2025,INF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,freela000ale,https://www.baseball-reference.com/register/player.fcgi?id=freela000ale,2001.0,,,2022,20,Summer,26,Brewster,CCBL,Smr,0
Alex Freeland,72,2025,2025,INF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,freela000ale,https://www.baseball-reference.com/register/player.fcgi?id=freela000ale,2001.0,,,2023,21,Pro,106,Great Lakes,MIDW,A+,0
Alex Ramírez,96,2023,2023,OF,Chicago Cubs,College,high,College/NCAA batting rows found through age 21,ramire012ale,https://www.baseball-reference.com/register/player.fcgi?id=ramire012ale,2000.0,,,2020,19,College,12,Rhode Island,A10,NCAA,0
Alex Ramírez,96,2023,2023,OF,Chicago Cubs,College,high,College/NCAA batting rows found through age 21,ramire012ale,https://www.baseball-reference.com/register/player.fcgi?id=ramire012ale,2000.0,,,2021,20,College,35,Rhode Island,A10,NCAA,0
Alex Ramírez,96,2023,2023,OF,Chicago Cubs,College,high,College/NCAA batting rows found through age 21,ramire012ale,https://www.baseball-reference.com/register/player.fcgi?id=ramire012ale,2000.0,,,2021,20,Summer,35,Ocean State,NECL,Smr,0
Alex Ramírez,96,2023,2023,OF,Chicago Cubs,College,high,College/NCAA batting rows found through age 21,ramire012ale,https://www.baseball-reference.com/register/player.fcgi?id=ramire012ale,2000.0,,,2022,21,College,54,Rhode Island,A10,NCAA,0
Alex Ramírez,96,2023,2023,OF,Chicago Cubs,College,high,College/NCAA batting rows found through age 21,ramire012ale,https://www.baseball-reference.com/register/player.fcgi?id=ramire012ale,2000.0,,,2022,21,Summer,33,Ocean State,NECL,Smr,0
Andrew Benintendi,1,2017,2017,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,benint000and,https://www.baseball-reference.com/register/player.fcgi?id=benint000and,1994.0,,,2014,19,College,61,Arkansas,SEC,NCAA,0
Andrew Benintendi,1,2017,2017,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,benint000and,https://www.baseball-reference.com/register/player.fcgi?id=benint000and,1994.0,,,2015,20,College,65,Arkansas,SEC,NCAA,0
Andrew Benintendi,1,2017,2017,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,benint000and,https://www.baseball-reference.com/register/player.fcgi?id=benint000and,1994.0,,,2015,20,Pro,54,2 Teams,2 Lgs,A--A,0
Andrew Benintendi,1,2017,2017,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,benint000and,https://www.baseball-reference.com/register/player.fcgi?id=benint000and,1994.0,,,2016,21,Pro,97,2 Teams,2 Lgs,AA-A+,0
Andrew Vaughn,14,2021,2021,1B/OF,Milwaukee Brewers,College,high,College/NCAA batting rows found through age 21,vaughn000and,https://www.baseball-reference.com/register/player.fcgi?id=vaughn000and,1998.0,,,2017,19,College,54,California,P12,NCAA,0
Andrew Vaughn,14,2021,2021,1B/OF,Milwaukee Brewers,College,high,College/NCAA batting rows found through age 21,vaughn000and,https://www.baseball-reference.com/register/player.fcgi?id=vaughn000and,1998.0,,,2017,19,Summer,6,Victoria,WCL,Smr,0
Andrew Vaughn,14,2021,2021,1B/OF,Milwaukee Brewers,College,high,College/NCAA batting rows found through age 21,vaughn000and,https://www.baseball-reference.com/register/player.fcgi?id=vaughn000and,1998.0,,,2018,20,College,54,California,P12,NCAA,0
Andrew Vaughn,14,2021,2021,1B/OF,Milwaukee Brewers,College,high,College/NCAA batting rows found through age 21,vaughn000and,https://www.baseball-reference.com/register/player.fcgi?id=vaughn000and,1998.0,,,2018,20,Summer,14,Wareham,CCBL,Smr,0
Andrew Vaughn,14,2021,2021,1B/OF,Milwaukee Brewers,College,high,College/NCAA batting rows found through age 21,vaughn000and,https://www.baseball-reference.com/register/player.fcgi?id=vaughn000and,1998.0,,,2019,21,College,52,California,P12,NCAA,0
Andrew Vaughn,14,2021,2021,1B/OF,Milwaukee Brewers,College,high,College/NCAA batting rows found through age 21,vaughn000and,https://www.baseball-reference.com/register/player.fcgi?id=vaughn000and,1998.0,,,2019,21,Pro,55,3 Teams,3 Lgs,A+-A-Rk,0
Austin Hays,23,2018,2018,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hays--000aus,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,1995.0,,,2014,18,Summer,39,DeLand,FCSL,Smr,0
Austin Hays,23,2018,2018,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hays--000aus,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,1995.0,,,2015,19,College,56,Jacksonville,ASun,NCAA,0
Austin Hays,23,2018,2018,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hays--000aus,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,1995.0,,,2015,19,Summer,42,Hyannis,CCBL,Smr,0
Austin Hays,23,2018,2018,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hays--000aus,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,1995.0,,,2016,20,College,54,Jacksonville,ASun,NCAA,0
Austin Hays,23,2018,2018,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hays--000aus,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,1995.0,,,2016,20,Pro,38,Aberdeen,NYPL,A-,0
Austin Hays,23,2018,2018,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,hays--000aus,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,1995.0,,,2017,21,Pro,128,2 Teams,2 Lgs,A+-AA,0
Austin Martin,22,2021,2022,SS/OF/2B,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,martin005aus,https://www.baseball-reference.com/register/player.fcgi?id=martin005aus,1998.0,,,2019,21,College,55,Iowa,BTen,NCAA,0
Austin Martin,22,2021,2022,SS/OF/2B,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,martin005aus,https://www.baseball-reference.com/register/player.fcgi?id=martin005aus,1998.0,,,2019,21,Summer,3,Fond du Lac,NWDS,Smr,0
Austin Wells,96,2022,2022,C,New York Yankees,College,high,College/NCAA batting rows found through age 21,wells-001aus,https://www.baseball-reference.com/register/player.fcgi?id=wells-001aus,1999.0,,,2019,19,College,56,Arizona,P12,NCAA,0
Austin Wells,96,2022,2022,C,New York Yankees,College,high,College/NCAA batting rows found through age 21,wells-001aus,https://www.baseball-reference.com/register/player.fcgi?id=wells-001aus,1999.0,,,2019,19,Summer,42,Yarmouth-Dennis,CCBL,Smr,0
Austin Wells,96,2022,2022,C,New York Yankees,College,high,College/NCAA batting rows found through age 21,wells-001aus,https://www.baseball-reference.com/register/player.fcgi?id=wells-001aus,1999.0,,,2020,20,College,15,Arizona,P12,NCAA,0
Austin Wells,96,2022,2022,C,New York Yankees,College,high,College/NCAA batting rows found through age 21,wells-001aus,https://www.baseball-reference.com/register/player.fcgi?id=wells-001aus,1999.0,,,2021,21,Pro,103,2 Teams,2 Lgs,A-A+,0
Blake Rutherford,37,2017,2018,OF,—,College,high,College/NCAA batting rows found through age 21,ruther001bla,https://www.baseball-reference.com/register/player.fcgi?id=ruther001bla,1995.0,,,2015,20,College,7,St. Norbert,MDWC,NCAA,0
Blake Rutherford,37,2017,2018,OF,—,College,high,College/NCAA batting rows found through age 21,ruther001bla,https://www.baseball-reference.com/register/player.fcgi?id=ruther001bla,1995.0,,,2016,21,College,6,St. Norbert,MDWC,NCAA,0
Blake Rutherford,37,2017,2018,OF,—,College,high,College/NCAA batting rows found through age 21,ruther001bla,https://www.baseball-reference.com/register/player.fcgi?id=ruther001bla,1995.0,,,2016,21,Summer,7,Green Bay,NWDS,Smr,0
Bobby Dalbec,92,2021,2021,3B/1B,Kansas City Royals,College,high,College/NCAA batting rows found through age 21,dalbec000bob,https://www.baseball-reference.com/register/player.fcgi?id=dalbec000bob,1995.0,,,2014,19,College,51,Arizona,P12,NCAA,0
Bobby Dalbec,92,2021,2021,3B/1B,Kansas City Royals,College,high,College/NCAA batting rows found through age 21,dalbec000bob,https://www.baseball-reference.com/register/player.fcgi?id=dalbec000bob,1995.0,,,2014,19,Summer,35,Orleans,CCBL,Smr,0
Bobby Dalbec,92,2021,2021,3B/1B,Kansas City Royals,College,high,College/NCAA batting rows found through age 21,dalbec000bob,https://www.baseball-reference.com/register/player.fcgi?id=dalbec000bob,1995.0,,,2015,20,College,55,Arizona,P12,NCAA,0
Bobby Dalbec,92,2021,2021,3B/1B,Kansas City Royals,College,high,College/NCAA batting rows found through age 21,dalbec000bob,https://www.baseball-reference.com/register/player.fcgi?id=dalbec000bob,1995.0,,,2015,20,Summer,27,Orleans,CCBL,Smr,0
Bobby Dalbec,92,2021,2021,3B/1B,Kansas City Royals,College,high,College/NCAA batting rows found through age 21,dalbec000bob,https://www.baseball-reference.com/register/player.fcgi?id=dalbec000bob,1995.0,,,2016,21,College,68,Arizona,P12,NCAA,0
Bobby Dalbec,92,2021,2021,3B/1B,Kansas City Royals,College,high,College/NCAA batting rows found through age 21,dalbec000bob,https://www.baseball-reference.com/register/player.fcgi?id=dalbec000bob,1995.0,,,2016,21,Pro,34,Lowell,NYPL,A-,0
Braden Montgomery,24,2026,2026,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,montgo002bra,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra,2003.0,,,2022,19,College,62,Stanford,P12,NCAA,0
Braden Montgomery,24,2026,2026,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,montgo002bra,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra,2003.0,,,2022,19,Summer,18,Yarmouth-Dennis,CCBL,Smr,0
Braden Montgomery,24,2026,2026,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,montgo002bra,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra,2003.0,,,2023,20,College,64,Stanford,P12,NCAA,0
Braden Montgomery,24,2026,2026,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,montgo002bra,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra,2003.0,,,2023,20,Summer,14,Yarmouth-Dennis,CCBL,Smr,0
Braden Montgomery,24,2026,2026,OF,Chicago White Sox,College,high,College/NCAA batting rows found through age 21,montgo002bra,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra,2003.0,,,2024,21,College,61,Texas A&M,SEC,NCAA,0
Bradley Zimmer,22,2017,2017,OF,Colorado Rockies,College,high,College/NCAA batting rows found through age 21,zimmer000bra,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra,1992.0,,,2012,19,College,57,San Francisco,WCC,NCAA,0
Bradley Zimmer,22,2017,2017,OF,Colorado Rockies,College,high,College/NCAA batting rows found through age 21,zimmer000bra,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra,1992.0,,,2013,20,College,58,San Francisco,WCC,NCAA,0
Bradley Zimmer,22,2017,2017,OF,Colorado Rockies,College,high,College/NCAA batting rows found through age 21,zimmer000bra,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra,1992.0,,,2013,20,Summer,16,Cotuit,CCBL,Smr,0
Bradley Zimmer,22,2017,2017,OF,Colorado Rockies,College,high,College/NCAA batting rows found through age 21,zimmer000bra,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra,1992.0,,,2014,21,College,54,San Francisco,WCC,NCAA,0
Bradley Zimmer,22,2017,2017,OF,Colorado Rockies,College,high,College/NCAA batting rows found through age 21,zimmer000bra,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra,1992.0,,,2014,21,Pro,48,2 Teams,2 Lgs,A--A,0
Brayden Taylor,67,2025,2025,INF,Tampa Bay Rays,College,high,College/NCAA batting rows found through age 21,taylor010bra,https://www.baseball-reference.com/register/player.fcgi?id=taylor010bra,2002.0,,,2021,19,College,58,Texas Christian,B12,NCAA,0
Brayden Taylor,67,2025,2025,INF,Tampa Bay Rays,College,high,College/NCAA batting rows found through age 21,taylor010bra,https://www.baseball-reference.com/register/player.fcgi?id=taylor010bra,2002.0,,,2021,19,Summer,26,Falmouth,CCBL,Smr,0
Brayden Taylor,67,2025,2025,INF,Tampa Bay Rays,College,high,College/NCAA batting rows found through age 21,taylor010bra,https://www.baseball-reference.com/register/player.fcgi?id=taylor010bra,2002.0,,,2022,20,College,59,Texas Christian,B12,NCAA,0
Brayden Taylor,67,2025,2025,INF,Tampa Bay Rays,College,high,College/NCAA batting rows found through age 21,taylor010bra,https://www.baseball-reference.com/register/player.fcgi?id=taylor010bra,2002.0,,,2022,20,Summer,11,Falmouth,CCBL,Smr,0
Brayden Taylor,67,2025,2025,INF,Tampa Bay Rays,College,high,College/NCAA batting rows found through age 21,taylor010bra,https://www.baseball-reference.com/register/player.fcgi?id=taylor010bra,2002.0,,,2023,21,College,67,Texas Christian,B12,NCAA,0
Brayden Taylor,67,2025,2025,INF,Tampa Bay Rays,College,high,College/NCAA batting rows found through age 21,taylor010bra,https://www.baseball-reference.com/register/player.fcgi?id=taylor010bra,2002.0,,,2023,21,Pro,25,2 Teams,2 Lgs,A-Rk,0
Brooks Lee,18,2024,2024,INF,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,2001.0,,,2019,18,Summer,37,Corvallis,WCL,Smr,0
Brooks Lee,18,2024,2024,INF,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,2001.0,,,2020,19,College,2,Cal Poly San Luis Obispo,BigW,NCAA,0
Brooks Lee,18,2024,2024,INF,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,2001.0,,,2020,19,Summer,36,Willmar,NWDS,Smr,0
Brooks Lee,18,2024,2024,INF,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,2001.0,,,2021,20,College,55,Cal Poly San Luis Obispo,BigW,NCAA,0
Brooks Lee,18,2024,2024,INF,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,2001.0,,,2021,20,Summer,21,Yarmouth-Dennis,CCBL,Smr,0
Brooks Lee,18,2024,2024,INF,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,2001.0,,,2022,21,College,58,Cal Poly San Luis Obispo,BigW,NCAA,0
Brooks Lee,18,2024,2024,INF,Minnesota Twins,College,high,College/NCAA batting rows found through age 21,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,2001.0,,,2022,21,Pro,31,3 Teams,3 Lgs,A+-Rk-AA,0
Bryson Stott,45,2022,2022,SS,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,stott-000bry,https://www.baseball-reference.com/register/player.fcgi?id=stott-000bry,1997.0,,,2017,19,College,54,Nevada-Las Vegas,MWC,NCAA,0
Bryson Stott,45,2022,2022,SS,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,stott-000bry,https://www.baseball-reference.com/register/player.fcgi?id=stott-000bry,1997.0,,,2017,19,Summer,71,Wisconsin Rapids,NWDS,Smr,0
Bryson Stott,45,2022,2022,SS,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,stott-000bry,https://www.baseball-reference.com/register/player.fcgi?id=stott-000bry,1997.0,,,2018,20,College,59,Nevada-Las Vegas,MWC,NCAA,0
Bryson Stott,45,2022,2022,SS,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,stott-000bry,https://www.baseball-reference.com/register/player.fcgi?id=stott-000bry,1997.0,,,2018,20,Summer,12,Wareham,CCBL,Smr,0
Bryson Stott,45,2022,2022,SS,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,stott-000bry,https://www.baseball-reference.com/register/player.fcgi?id=stott-000bry,1997.0,,,2019,21,College,58,Nevada-Las Vegas,MWC,NCAA,0
Bryson Stott,45,2022,2022,SS,Philadelphia Phillies,College,high,College/NCAA batting rows found through age 21,stott-000bry,https://www.baseball-reference.com/register/player.fcgi?id=stott-000bry,1997.0,,,2019,21,Pro,48,2 Teams,2 Lgs,A--Rk,0
Cam Smith,59,2025,2025,3B,Houston Astros,College,high,College/NCAA batting rows found through age 21,smith-014cam,https://www.baseball-reference.com/register/player.fcgi?id=smith-014cam,2003.0,,,2023,20,College,51,Florida State,ACC,NCAA,0
Cam Smith,59,2025,2025,3B,Houston Astros,College,high,College/NCAA batting rows found through age 21,smith-014cam,https://www.baseball-reference.com/register/player.fcgi?id=smith-014cam,2003.0,,,2023,20,Summer,44,Hyannis,CCBL,Smr,0
Cam Smith,59,2025,2025,3B,Houston Astros,College,high,College/NCAA batting rows found through age 21,smith-014cam,https://www.baseball-reference.com/register/player.fcgi?id=smith-014cam,2003.0,,,2024,21,College,66,Florida State,ACC,NCAA,0
Cam Smith,59,2025,2025,3B,Houston Astros,College,high,College/NCAA batting rows found through age 21,smith-014cam,https://www.baseball-reference.com/register/player.fcgi?id=smith-014cam,2003.0,,,2024,21,Pro,32,3 Teams,3 Lgs,A-A+-AA,0
Charles Davalan,98,2026,2026,OF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,davala000cha,https://www.baseball-reference.com/register/player.fcgi?id=davala000cha,2003.0,,,2024,20,College,56,Florida Gulf Coast,ASun,NCAA,0
Charles Davalan,98,2026,2026,OF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,davala000cha,https://www.baseball-reference.com/register/player.fcgi?id=davala000cha,2003.0,,,2024,20,Summer,21,Cotuit,CCBL,Smr,0
Charles Davalan,98,2026,2026,OF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,davala000cha,https://www.baseball-reference.com/register/player.fcgi?id=davala000cha,2003.0,,,2025,21,College,65,Arkansas,SEC,NCAA,0
Charles Davalan,98,2026,2026,OF,Los Angeles Dodgers,College,high,College/NCAA batting rows found through age 21,davala000cha,https://www.baseball-reference.com/register/player.fcgi?id=davala000cha,2003.0,,,2025,21,Pro,8,Rancho Cucamonga,CALL,A,0
Charlie Condon,29,2025,2026,1B/OF,Colorado Rockies,College,high,College/NCAA batting rows found through age 21,condon000cha,https://www.baseball-reference.com/register/player.fcgi?id=condon000cha,2003.0,,,2022,19,Summer,61,St. Cloud,NWDS,Smr,0
