Player,URL,Status,Rows,Tables_Found,Tables_Accepted,Acquisition_Type,Confidence,Reason,Draft_Text,Signing_Text,High_School_Text,School_Text,Cached,Final_URL
Roman Anthony,https://www.baseball-reference.com/register/player.fcgi?id=anthon000rom,200,5,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Boston Red Sox in the 2nd round of the 2022 MLB June Amateur Draft from Marjory Stoneman Douglas HS (Parkland, FL) . | High School: Marjory Stoneman Douglas HS (Parkland, FL)","Draft : Drafted by the Boston Red Sox in the 2nd round of the 2022 MLB June Amateur Draft from Marjory Stoneman Douglas HS (Parkland, FL) .","2026 Contract Status : Signed thru 2033, 9 yrs/$130.46M (25-33) & 34 team option","Draft : Drafted by the Boston Red Sox in the 2nd round of the 2022 MLB June Amateur Draft from Marjory Stoneman Douglas HS (Parkland, FL) . | High School: Marjory Stoneman Douglas HS (Parkland, FL)","High School: Marjory Stoneman Douglas HS (Parkland, FL)",False,https://www.baseball-reference.com/register/player.fcgi?id=anthon000rom
Ronald Acuña Jr.,https://www.baseball-reference.com/register/player.fcgi?id=acuna-002ron,200,7,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,"2026 Contract Status : Signed thru 2026, 8 yrs/$100M (19-26) & 27-28 team option",,,False,https://www.baseball-reference.com/register/player.fcgi?id=acuna-002ron
Yoán Moncada,https://www.baseball-reference.com/register/player.fcgi?id=moncad000joh,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 14,,"Yoán Moncada Positions: Third Baseman and Second Baseman Bats: Both • Throws: Right 6-0 , 220lb (183cm, 99kg) Team: Los Angeles Angels (majors) Born: May 27 , 1995 in Cienfuegos, Cuba cu Rookie Status: Exceeded rookie limits during 2017 season 2026 Contract Status : Signed thru 2026, 1 yr/$4M (26) Service Time (01/2026) : 8.106 • Free Agent : 2027 Agents : Movement Management Group • Previously : David Hastings Full Name: Yoán Manuel Moncada Nicknames: Yoyo Pronunciation : \ YO-on moan-CAH-duh \ View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | 2026 Contract Status : Signed thru 2026, 1 yr/$4M (26)",,,False,https://www.baseball-reference.com/register/player.fcgi?id=moncad000joh
Eloy Jiménez,https://www.baseball-reference.com/register/player.fcgi?id=jimene000elo,200,6,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=jimene000elo
Francisco Alvarez,https://www.baseball-reference.com/register/player.fcgi?id=alvare006fra,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,"Francisco Alvarez Position: Catcher Bats: Right • Throws: Right 5-10 , 233lb (178cm, 105kg) Team: New York Mets (majors, 10-day IL) Born: November 19 , 2001 in Guatire, Venezuela ve Rookie Status: Exceeded rookie limits during 2023 season 2026 Contract Status : Signed thru 2026, 1 yr/$2.4M (26) Service Time (01/2026) : 2.164 • Arb Eligible : 2027 • Free Agent : 2030 Full Name: Francisco Javier Alvarez Nicknames: The Troll Instagram: @franciscoalvarez.13 View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | 2026 Contract Status : Signed thru 2026, 1 yr/$2.4M (26)",,,False,https://www.baseball-reference.com/register/player.fcgi?id=alvare006fra
Gleyber Torres,https://www.baseball-reference.com/register/player.fcgi?id=torres000gle,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,"Gleyber Torres Positions: Second Baseman and Shortstop Bats: Right • Throws: Right 5-10 , 205lb (178cm, 92kg) Team: Detroit Tigers (majors, 10-day IL) Born: December 13 , 1996 in Caracas, Venezuela ve Rookie Status: Exceeded rookie limits during 2018 season 2026 Contract Status : Signed thru 2026, 1 yr/$22.03M (26) Service Time (01/2026) : 7.162 • Free Agent : 2027 Agents : Octagon Full Name: Gleyber David Torres Nicknames: GT or De Caracas Pronunciation : \ GLAY-burr \ Instagram: @gleyberdavid View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | 2026 Contract Status : Signed thru 2026, 1 yr/$22.03M (26)",,,False,https://www.baseball-reference.com/register/player.fcgi?id=torres000gle
Julio Rodríguez,https://www.baseball-reference.com/register/player.fcgi?id=rodrig010jul,200,3,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 19,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=rodrig010jul
Luis Robert Jr.,https://www.baseball-reference.com/register/player.fcgi?id=robert001lui,200,9,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 14,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=robert001lui
Spencer Torkelson,https://www.baseball-reference.com/register/player.fcgi?id=torkel000spe,200,6,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Detroit Tigers in the 1st round (1st) of the 2020 MLB June Amateur Draft from Arizona State University (Tempe, AZ) .","2026 Contract Status : Signed thru 2026, 1 yr/$4.08M (26)","High School: Casa Grande HS (Petaluma, CA)","High School: Casa Grande HS (Petaluma, CA) | School: Arizona State University (Tempe, AZ)",False,https://www.baseball-reference.com/register/player.fcgi?id=torkel000spe
Walker Jenkins,https://www.baseball-reference.com/register/player.fcgi?id=jenkin001wal,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Walker Jenkins Positions: Centerfielder, Designated Hitter and Rightfielder Bats: Left • Throws: Right 6-3 , 210lb (190cm, 95kg) Team: Minnesota Twins (minors, 7-day IL) Born: February 19, 2005 in Wilmington, NC us Draft : Drafted by the Minnesota Twins in the 1st round (5th) of the 2023 MLB June Amateur Draft from South Brunswick HS (Southport, NC) . High School: South Brunswick HS (Southport, NC) National Team: us USA (18U) Full Name: Walker Clay Jenkins View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Minnesota Twins in the 1st round (5th) of the 2023 MLB June Amateur Draft from South Brunswick HS (Southport, NC) . | High School: South Brunswick HS (Southport, NC)","Walker Jenkins Positions: Centerfielder, Designated Hitter and Rightfielder Bats: Left • Throws: Right 6-3 , 210lb (190cm, 95kg) Team: Minnesota Twins (minors, 7-day IL) Born: February 19, 2005 in Wilmington, NC us Draft : Drafted by the Minnesota Twins in the 1st round (5th) of the 2023 MLB June Amateur Draft from South Brunswick HS (Southport, NC) . High School: South Brunswick HS (Southport, NC) National Team: us USA (18U) Full Name: Walker Clay Jenkins View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Minnesota Twins in the 1st round (5th) of the 2023 MLB June Amateur Draft from South Brunswick HS (Southport, NC) .",,"Walker Jenkins Positions: Centerfielder, Designated Hitter and Rightfielder Bats: Left • Throws: Right 6-3 , 210lb (190cm, 95kg) Team: Minnesota Twins (minors, 7-day IL) Born: February 19, 2005 in Wilmington, NC us Draft : Drafted by the Minnesota Twins in the 1st round (5th) of the 2023 MLB June Amateur Draft from South Brunswick HS (Southport, NC) . High School: South Brunswick HS (Southport, NC) National Team: us USA (18U) Full Name: Walker Clay Jenkins View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Minnesota Twins in the 1st round (5th) of the 2023 MLB June Amateur Draft from South Brunswick HS (Southport, NC) . | High School: South Brunswick HS (Southport, NC)","Walker Jenkins Positions: Centerfielder, Designated Hitter and Rightfielder Bats: Left • Throws: Right 6-3 , 210lb (190cm, 95kg) Team: Minnesota Twins (minors, 7-day IL) Born: February 19, 2005 in Wilmington, NC us Draft : Drafted by the Minnesota Twins in the 1st round (5th) of the 2023 MLB June Amateur Draft from South Brunswick HS (Southport, NC) . High School: South Brunswick HS (Southport, NC) National Team: us USA (18U) Full Name: Walker Clay Jenkins View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: South Brunswick HS (Southport, NC)",False,https://www.baseball-reference.com/register/player.fcgi?id=jenkin001wal
Dansby Swanson,https://www.baseball-reference.com/register/player.fcgi?id=swanso001dan,200,5,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Colorado Rockies in the 38th round of the 2012 MLB June Amateur Draft from Marietta HS (Marietta, GA) and the Arizona Diamondbacks in the 1st round (1st) of the 2015 MLB June Amateur Draft from Vanderbilt University (Nashville, TN) .","2026 Contract Status : Signed thru 2029, 7 yrs/$177M (23-29)","Draft : Drafted by the Colorado Rockies in the 38th round of the 2012 MLB June Amateur Draft from Marietta HS (Marietta, GA) and the Arizona Diamondbacks in the 1st round (1st) of the 2015 MLB June Amateur Draft from Vanderbilt University (Nashville, TN) . | High School: Marietta HS (Marietta, GA)","High School: Marietta HS (Marietta, GA) | School: Vanderbilt University (Nashville, TN)",False,https://www.baseball-reference.com/register/player.fcgi?id=swanso001dan
Dylan Crews,https://www.baseball-reference.com/register/player.fcgi?id=crews-000dyl,200,6,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Washington Nationals in the 1st round (2nd) of the 2023 MLB June Amateur Draft from Louisiana State University (Baton Rouge, LA) .",,"High School: Lake Mary HS (Lake Mary, FL)","High School: Lake Mary HS (Lake Mary, FL) | School: Louisiana State University (Baton Rouge, LA)",False,https://www.baseball-reference.com/register/player.fcgi?id=crews-000dyl
Eli Willits,https://www.baseball-reference.com/register/player.fcgi?id=willit000eli,200,2,1,1,High School,high,"BRef draft/bio text indicates high school path: Eli Willits Positions: Shortstop and Second Baseman Bats: Both • Throws: Right 6-1 , 180lb (185cm, 81kg) Team: Washington Nationals (minors) Born: December 9, 2007 in Lawton, OK us Draft : Drafted by the Washington Nationals in the 1st round (1st) of the 2025 MLB June Amateur Draft from Fort Cobb-Broxton HS (Fort Cobb, OK) . High School: Fort Cobb-Broxton HS (Fort Cobb, OK) National Team: us USA (18U) Full Name: Eli Willits View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Washington Nationals in the 1st round (1st) of the 2025 MLB June Amateur Draft from Fort Cobb-Broxton HS (Fort Cobb, OK) . | High School: Fort Cobb-Broxton HS (Fort Cobb, OK)","Eli Willits Positions: Shortstop and Second Baseman Bats: Both • Throws: Right 6-1 , 180lb (185cm, 81kg) Team: Washington Nationals (minors) Born: December 9, 2007 in Lawton, OK us Draft : Drafted by the Washington Nationals in the 1st round (1st) of the 2025 MLB June Amateur Draft from Fort Cobb-Broxton HS (Fort Cobb, OK) . High School: Fort Cobb-Broxton HS (Fort Cobb, OK) National Team: us USA (18U) Full Name: Eli Willits View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Washington Nationals in the 1st round (1st) of the 2025 MLB June Amateur Draft from Fort Cobb-Broxton HS (Fort Cobb, OK) .",,"Eli Willits Positions: Shortstop and Second Baseman Bats: Both • Throws: Right 6-1 , 180lb (185cm, 81kg) Team: Washington Nationals (minors) Born: December 9, 2007 in Lawton, OK us Draft : Drafted by the Washington Nationals in the 1st round (1st) of the 2025 MLB June Amateur Draft from Fort Cobb-Broxton HS (Fort Cobb, OK) . High School: Fort Cobb-Broxton HS (Fort Cobb, OK) National Team: us USA (18U) Full Name: Eli Willits View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Washington Nationals in the 1st round (1st) of the 2025 MLB June Amateur Draft from Fort Cobb-Broxton HS (Fort Cobb, OK) . | High School: Fort Cobb-Broxton HS (Fort Cobb, OK)","Eli Willits Positions: Shortstop and Second Baseman Bats: Both • Throws: Right 6-1 , 180lb (185cm, 81kg) Team: Washington Nationals (minors) Born: December 9, 2007 in Lawton, OK us Draft : Drafted by the Washington Nationals in the 1st round (1st) of the 2025 MLB June Amateur Draft from Fort Cobb-Broxton HS (Fort Cobb, OK) . High School: Fort Cobb-Broxton HS (Fort Cobb, OK) National Team: us USA (18U) Full Name: Eli Willits View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: Fort Cobb-Broxton HS (Fort Cobb, OK)",False,https://www.baseball-reference.com/register/player.fcgi?id=willit000eli
Jarred Kelenic,https://www.baseball-reference.com/register/player.fcgi?id=keleni000jar,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the New York Mets in the 1st round (6th) of the 2018 MLB June Amateur Draft from Waukesha West HS (Waukesha, WI) . | High School: Waukesha West HS (Waukesha, WI)","Draft : Drafted by the New York Mets in the 1st round (6th) of the 2018 MLB June Amateur Draft from Waukesha West HS (Waukesha, WI) .",,"Draft : Drafted by the New York Mets in the 1st round (6th) of the 2018 MLB June Amateur Draft from Waukesha West HS (Waukesha, WI) . | High School: Waukesha West HS (Waukesha, WI)","High School: Waukesha West HS (Waukesha, WI)",False,https://www.baseball-reference.com/register/player.fcgi?id=keleni000jar
Jordan Walker,https://www.baseball-reference.com/register/player.fcgi?id=walker000jor,200,5,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the St. Louis Cardinals in the 1st round (21st) of the 2020 MLB June Amateur Draft from Decatur HS (Decatur, GA) . | High School: Decatur HS (Decatur, GA)","Draft : Drafted by the St. Louis Cardinals in the 1st round (21st) of the 2020 MLB June Amateur Draft from Decatur HS (Decatur, GA) .",,"Draft : Drafted by the St. Louis Cardinals in the 1st round (21st) of the 2020 MLB June Amateur Draft from Decatur HS (Decatur, GA) . | High School: Decatur HS (Decatur, GA)","High School: Decatur HS (Decatur, GA)",False,https://www.baseball-reference.com/register/player.fcgi?id=walker000jor
Junior Caminero,https://www.baseball-reference.com/register/player.fcgi?id=camine000jun,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=camine000jun
Victor Robles,https://www.baseball-reference.com/register/player.fcgi?id=robles002vic,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,"2026 Contract Status : Signed thru 2026, 2 yrs/$9.75M (25-26) & 27 team option",,,False,https://www.baseball-reference.com/register/player.fcgi?id=robles002vic
Amed Rosario,https://www.baseball-reference.com/register/player.fcgi?id=rosari000ame,200,7,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 14,,"Amed Rosario Positions: Shortstop, Second Baseman and Third Baseman Bats: Right • Throws: Right 6-1 , 227lb (185cm, 102kg) Team: New York Yankees (majors) Born: November 20 , 1995 in Santo Domingo, Dominican Republic do Rookie Status: Exceeded rookie limits during 2017 season 2026 Contract Status : Signed thru 2026, 1 yr/$2.5M (26) Service Time (01/2026) : 8.062 • Free Agent : 2027 Agents : Octagon Full Name: German Amed Rosario Nicknames: El Nino or Rosie Pronunciation : \ row-SAH-ree-oh \ Instagram: @amedrosario1 View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | 2026 Contract Status : Signed thru 2026, 1 yr/$2.5M (26)",,,False,https://www.baseball-reference.com/register/player.fcgi?id=rosari000ame
Anthony Volpe,https://www.baseball-reference.com/register/player.fcgi?id=volpe-000ant,200,3,1,1,High School,high,"BRef draft/bio text indicates high school path: High School: Delbarton School (Morristown, NJ)","Draft : Drafted by the New York Yankees in the 1st round (30th) of the 2019 MLB June Amateur Draft from Delbarton School (Morristown, NJ) .","2026 Contract Status : Signed thru 2026, 1 yr/$3.48M (26)","High School: Delbarton School (Morristown, NJ)","High School: Delbarton School (Morristown, NJ)",False,https://www.baseball-reference.com/register/player.fcgi?id=volpe-000ant
Evan Carter,https://www.baseball-reference.com/register/player.fcgi?id=carter000eva,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Texas Rangers in the 2nd round of the 2020 MLB June Amateur Draft from Elizabethton HS (Elizabethton, TN) . | High School: Elizabethton HS (Elizabethton, TN)","Draft : Drafted by the Texas Rangers in the 2nd round of the 2020 MLB June Amateur Draft from Elizabethton HS (Elizabethton, TN) .",,"Draft : Drafted by the Texas Rangers in the 2nd round of the 2020 MLB June Amateur Draft from Elizabethton HS (Elizabethton, TN) . | High School: Elizabethton HS (Elizabethton, TN)","High School: Elizabethton HS (Elizabethton, TN)",False,https://www.baseball-reference.com/register/player.fcgi?id=carter000eva
Riley Greene,https://www.baseball-reference.com/register/player.fcgi?id=greene000ril,200,3,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Detroit Tigers in the 1st round (5th) of the 2019 MLB June Amateur Draft from Paul J. Hagerty HS (Oviedo, FL) . | High School: Paul J. Hagerty HS (Oviedo, FL)","Draft : Drafted by the Detroit Tigers in the 1st round (5th) of the 2019 MLB June Amateur Draft from Paul J. Hagerty HS (Oviedo, FL) .","2026 Contract Status : Signed thru 2026, 1 yr/$5M (26)","Draft : Drafted by the Detroit Tigers in the 1st round (5th) of the 2019 MLB June Amateur Draft from Paul J. Hagerty HS (Oviedo, FL) . | High School: Paul J. Hagerty HS (Oviedo, FL)","High School: Paul J. Hagerty HS (Oviedo, FL)",False,https://www.baseball-reference.com/register/player.fcgi?id=greene000ril
Royce Lewis,https://www.baseball-reference.com/register/player.fcgi?id=lewis-002roy,200,3,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Minnesota Twins in the 1st round (1st) of the 2017 MLB June Amateur Draft from JSerra Catholic HS (San Juan Capistrano, CA) . | High School: JSerra Catholic HS (San Juan Capistrano, CA)","Draft : Drafted by the Minnesota Twins in the 1st round (1st) of the 2017 MLB June Amateur Draft from JSerra Catholic HS (San Juan Capistrano, CA) .","2026 Contract Status : Signed thru 2026, 1 yr/$2.85M (26)","Draft : Drafted by the Minnesota Twins in the 1st round (1st) of the 2017 MLB June Amateur Draft from JSerra Catholic HS (San Juan Capistrano, CA) . | High School: JSerra Catholic HS (San Juan Capistrano, CA)","High School: JSerra Catholic HS (San Juan Capistrano, CA)",False,https://www.baseball-reference.com/register/player.fcgi?id=lewis-002roy
